datetime,temperature,humidite,description
2025-04-02 09:00:00,14.07,50,nuageux
2025-04-02 12:00:00,14.48,51,nuageux
2025-04-02 15:00:00,14.72,57,couvert
2025-04-02 18:00:00,13.09,69,couvert
2025-04-02 21:00:00,11.48,71,couvert
2025-04-03 00:00:00,7.8,71,couvert
2025-04-03 03:00:00,11.65,69,couvert
2025-04-03 06:00:00,10.98,68,nuageux
2025-04-03 09:00:00,15.6,53,partiellement nuageux
2025-04-03 12:00:00,17.39,50,partiellement nuageux
2025-04-03 15:00:00,17.27,50,nuageux
2025-04-03 18:00:00,16.04,52,nuageux
2025-04-03 21:00:00,14.45,57,couvert
2025-04-04 00:00:00,13.52,57,couvert
2025-04-04 03:00:00,12.91,64,couvert
2025-04-04 06:00:00,12.58,65,couvert
2025-04-04 09:00:00,17.12,50,partiellement nuageux
2025-04-04 12:00:00,18.91,47,partiellement nuageux
2025-04-04 15:00:00,18.22,47,couvert
2025-04-04 18:00:00,17.04,45,couvert
2025-04-04 21:00:00,15.29,48,couvert
2025-04-05 00:00:00,14.54,49,couvert
2025-04-05 03:00:00,13.88,51,couvert
2025-04-05 06:00:00,13.52,56,nuageux
2025-04-05 09:00:00,16.79,46,couvert
2025-04-05 12:00:00,17.47,51,nuageux
2025-04-05 15:00:00,17.32,51,ciel dégagé
2025-04-05 18:00:00,15.63,58,ciel dégagé
2025-04-05 21:00:00,14.45,74,ciel dégagé
2025-04-06 00:00:00,13.68,80,ciel dégagé
2025-04-06 03:00:00,12.93,80,ciel dégagé
2025-04-06 06:00:00,12.65,75,ciel dégagé
2025-04-06 09:00:00,16.44,56,ciel dégagé
2025-04-06 12:00:00,17.07,61,ciel dégagé
2025-04-06 15:00:00,17.27,62,nuageux
2025-04-06 18:00:00,16.25,65,partiellement nuageux
2025-04-06 21:00:00,15.34,65,ciel dégagé
2025-04-07 00:00:00,13.94,73,ciel dégagé
2025-04-07 03:00:00,13.01,74,partiellement nuageux
2025-04-07 06:00:00,13.23,70,nuageux
